timestamp,Kp_roll,Kp_pitch,Kp_yaw,rbfnn_lr,pitch_offset,roll_offset,cost,verdict
2026-04-08 22:09:16,0.205503,0.205503,0.155179,0.340331,-0.205751,-0.037351,532.0045,NEAR_FLIP
2026-04-08 22:10:57,0.234517,0.234517,0.252676,0.465951,-0.172160,0.040095,247.5727,LOW_ALT
2026-04-08 22:12:38,0.173509,0.173509,0.182656,0.337633,-0.175851,0.050000,546.4231,NEAR_FLIP
2026-04-08 22:13:57,0.296332,0.296332,0.302115,0.026763,-0.226245,0.038075,1014.0819,FLIPPED
2026-04-08 22:15:33,0.128937,0.128937,0.301767,0.496737,-0.024338,-0.017510,545.6740,NEAR_FLIP
2026-04-08 22:16:55,0.170296,0.170296,0.146526,0.298975,-0.143866,0.034718,336.8114,NEAR_FLIP
2026-04-08 22:18:17,0.108418,0.108418,0.199186,0.046368,-0.078474,-0.004128,536.8015,NEAR_FLIP
2026-04-08 22:19:45,0.242722,0.242722,0.204257,0.091129,-0.011919,0.037566,541.1294,NEAR_FLIP
2026-04-08 22:21:04,0.184634,0.184634,0.072243,0.296837,-0.169622,0.048021,236.5558,LOW_ALT
2026-04-08 22:22:21,0.040716,0.040716,0.249195,0.385628,-0.236674,-0.045307,1037.1079,FLIPPED
2026-04-08 22:23:37,0.174835,0.174835,0.259576,0.497536,-0.245138,0.013875,1010.7878,FLIPPED
2026-04-08 22:25:00,0.179063,0.179063,0.148676,0.270555,-0.106008,0.027655,346.0717,NEAR_FLIP
2026-04-08 22:26:40,0.289752,0.289752,0.146409,0.167406,-0.162904,0.034384,541.0777,STUCK_ON_GROUND
2026-04-08 22:28:05,0.172090,0.172090,0.322525,0.352989,-0.162300,-0.006016,544.1342,NEAR_FLIP
2026-04-08 22:29:32,0.154751,0.154751,0.164870,0.317011,-0.156106,0.049509,536.5452,NEAR_FLIP
2026-04-08 22:30:52,0.125197,0.125197,0.429328,0.309874,-0.157036,0.025618,536.9088,NEAR_FLIP
2026-04-08 22:32:36,0.297356,0.297356,0.392384,0.089537,-0.034634,0.004076,545.1561,NEAR_FLIP
2026-04-08 22:34:00,0.159542,0.159542,0.235771,0.336768,-0.145297,0.029224,514.9309,NEAR_FLIP
2026-04-08 22:35:40,0.045524,0.045524,0.397028,0.429808,-0.133699,0.015123,543.9653,NEAR_FLIP
2026-04-08 22:37:20,0.169520,0.169520,0.365506,0.018812,-0.025659,-0.016640,546.3749,NEAR_FLIP
2026-04-08 22:38:42,0.159302,0.159302,0.196615,0.388586,-0.137379,0.035941,536.6193,NEAR_FLIP
2026-04-08 22:40:25,0.252423,0.252423,0.401016,0.450591,-0.111216,0.045536,538.5823,STUCK_ON_GROUND
2026-04-08 22:41:43,0.122723,0.122723,0.078596,0.297797,-0.164746,-0.036420,536.5277,NEAR_FLIP
2026-04-08 22:43:04,0.218584,0.218584,0.144250,0.323957,-0.152657,0.048333,536.4834,NEAR_FLIP
2026-04-08 22:44:44,0.179227,0.179227,0.390847,0.394748,-0.228855,-0.040408,540.8213,STUCK_ON_GROUND
2026-04-08 22:46:03,0.239242,0.239242,0.346847,0.389518,-0.176146,-0.004534,236.7422,LOW_ALT
2026-04-08 22:47:21,0.152594,0.152594,0.186994,0.269188,-0.148634,0.050000,536.8126,NEAR_FLIP
2026-04-08 22:48:38,0.035491,0.035491,0.116741,0.081130,-0.171051,0.044887,1035.8720,FLIPPED
2026-04-08 22:50:07,0.110423,0.110423,0.414471,0.174582,-0.164320,0.028242,549.2202,NEAR_FLIP
2026-04-08 22:51:30,0.170454,0.170454,0.231483,0.314981,-0.161113,0.032141,544.5110,NEAR_FLIP
2026-04-08 22:52:59,0.141305,0.141305,0.351852,0.005682,-0.013217,0.044531,541.3098,NEAR_FLIP
2026-04-08 22:54:29,0.214625,0.214625,0.166259,0.073156,-0.219186,0.026766,562.6688,NEAR_FLIP
2026-04-08 22:55:47,0.137632,0.137632,0.197269,0.335795,-0.200037,0.032221,1037.1110,FLIPPED
2026-04-08 22:57:08,0.051072,0.051072,0.207246,0.022806,-0.122720,0.003545,536.6115,NEAR_FLIP
2026-04-08 22:58:30,0.164326,0.164326,0.218212,0.485639,-0.127246,0.029460,236.5491,LOW_ALT
2026-04-08 22:59:55,0.208337,0.208337,0.267135,0.304859,-0.122657,0.022820,239.8904,LOW_ALT
2026-04-08 23:01:14,0.031356,0.031356,0.249260,0.170248,-0.132188,-0.031493,336.6021,NEAR_FLIP
2026-04-08 23:02:45,0.144306,0.144306,0.448229,0.441921,-0.057581,0.019954,542.2375,NEAR_FLIP
2026-04-08 23:04:29,0.152621,0.152621,0.141247,0.251645,-0.116223,0.046695,534.6112,STUCK_ON_GROUND
2026-04-08 23:05:45,0.055604,0.055604,0.269747,0.406523,-0.162628,-0.033687,1035.5040,FLIPPED
2026-04-08 23:07:07,0.082717,0.082717,0.272599,0.155839,-0.138120,0.019449,536.5137,NEAR_FLIP
2026-04-08 23:08:35,0.192781,0.192781,0.242417,0.399062,-0.149953,0.050000,337.6500,NEAR_FLIP
2026-04-08 23:09:51,0.076384,0.076384,0.423347,0.143530,-0.239202,0.002615,1215.2876,FLIPPED
2026-04-08 23:11:32,0.223970,0.223970,0.481087,0.100290,-0.224624,-0.003555,539.9738,STUCK_ON_GROUND
2026-04-08 23:12:54,0.217282,0.217282,0.194607,0.263598,-0.143370,0.035319,536.9168,NEAR_FLIP
2026-04-08 23:14:14,0.101933,0.101933,0.435375,0.404911,-0.116799,0.044472,537.0053,NEAR_FLIP
2026-04-08 23:15:58,0.182259,0.182259,0.434664,0.450104,-0.054140,0.005711,537.1078,STUCK_ON_GROUND
2026-04-08 23:17:16,0.134218,0.134218,0.252554,0.230675,-0.145548,0.050000,536.6642,NEAR_FLIP
2026-04-08 23:18:37,0.096060,0.096060,0.453784,0.054909,-0.133258,0.018851,536.7851,NEAR_FLIP
2026-04-08 23:19:54,0.224482,0.224482,0.381122,0.430054,-0.172400,-0.022872,1035.5882,FLIPPED
2026-04-08 23:21:11,0.126384,0.126384,0.270796,0.350953,-0.167782,0.049901,536.7406,NEAR_FLIP
2026-04-08 23:22:52,0.092288,0.092288,0.406460,0.058113,-0.034635,0.018720,238.8056,LOW_ALT
2026-04-08 23:24:15,0.192665,0.192665,0.491931,0.037186,-0.184052,-0.029508,534.3352,NEAR_FLIP
2026-04-08 23:25:37,0.154388,0.154388,0.153405,0.361642,-0.142698,0.050000,536.7900,NEAR_FLIP
2026-04-08 23:27:04,0.176234,0.176234,0.190285,0.235600,-0.230572,-0.021057,540.8019,NEAR_FLIP
2026-04-08 23:28:42,0.103932,0.103932,0.260489,0.352291,-0.059862,-0.046090,552.2819,NEAR_FLIP
2026-04-08 23:30:23,0.177179,0.177179,0.163489,0.282990,-0.150902,0.044921,524.2117,NEAR_FLIP
2026-04-08 23:31:44,0.280655,0.280655,0.261197,0.353749,-0.136562,-0.039250,336.7009,NEAR_FLIP
2026-04-08 23:33:01,0.085572,0.085572,0.109650,0.075971,-0.182405,-0.028974,1014.3826,FLIPPED
2026-04-08 23:34:36,0.256872,0.256872,0.124267,0.344424,-0.160204,0.050000,538.9323,NEAR_FLIP
2026-04-08 23:36:00,0.151038,0.151038,0.272526,0.147169,-0.194791,-0.021238,543.3215,NEAR_FLIP
2026-04-08 23:37:40,0.158351,0.158351,0.087746,0.489879,-0.110916,-0.007494,534.9377,STUCK_ON_GROUND
2026-04-08 23:39:21,0.164205,0.164205,0.241934,0.304536,-0.123347,0.039847,541.3985,STUCK_ON_GROUND
2026-04-08 23:41:01,0.215644,0.215644,0.429662,0.367533,-0.161500,-0.040843,556.1355,NEAR_FLIP
2026-04-08 23:42:42,0.200515,0.200515,0.430227,0.467156,-0.011444,-0.045847,538.9203,STUCK_ON_GROUND
2026-04-08 23:43:59,0.104224,0.104224,0.152775,0.321268,-0.159246,0.049713,536.7292,NEAR_FLIP
2026-04-08 23:45:40,0.158665,0.158665,0.334306,0.385847,-0.032160,0.024481,544.0913,NEAR_FLIP
2026-04-08 23:46:56,0.170571,0.170571,0.198351,0.479493,-0.186641,-0.037950,1036.1065,FLIPPED
2026-04-08 23:48:23,0.190574,0.190574,0.157747,0.327207,-0.182363,0.048277,541.9539,NEAR_FLIP
2026-04-08 23:49:44,0.162297,0.162297,0.429940,0.133483,-0.127569,-0.049242,536.7952,NEAR_FLIP
2026-04-08 23:51:13,0.244070,0.244070,0.413762,0.277520,-0.080209,-0.000580,543.5273,NEAR_FLIP
